id;Название_ru;Name_en;id_станции;Направление;lat;lon
19960;Ломоносовский пр-т, МГУ им. М.В, Ломоносова;Lomonosovskij prospekt, MSU im. M.V, Lomonosova;17;out;55.69352999;37.53449154
19961;Ломоносовский пр-т, МГУ им. М.В, Ломоносова;Lomonosovskij prospekt, MSU im. M.V, Lomonosova;17;in;55.69334293;37.53482444
19962;"пр-т Вернадского, ТЦ ""АШАН Сити""";"prospekt Vernadskogo, shopping mall ""AUCHAN City""";17;in;55.69315282;37.53449002
19970;ул. Дундича, ул. Сеславинская;ul. Dundicha, ul. Seslavinskaja;62;in;55.73958302;37.48371922
19971;ул. Дундича, ул. Сеславинская;ul. Dundicha, ul. Seslavinskaja;62;out;55.73962654;37.48367646
19980;ул. Дундича, ул. Малая Филевская;ul. Dundicha, ul. Malaja Filevskaja;62;in;55.73943795;37.48304351
19981;ул. Дундича, ул. Малая Филевская;ul. Dundicha, ul. Malaja Filevskaja;62;out;55.73939458;37.48308578
19990;Багратионовский пр-д;Bagrationovskij proezd;60;in;55.7466822;37.51416444
19991;Багратионовский пр-д, ул. Тучковская;Bagrationovskij proezd, ul. Tuchkovskaja;60;out;55.74677229;37.51386896
19992;Багратионовский пр-д, ул. Новозаводская;Bagrationovskij proezd, ul. Novozavodskaja;60;out;55.74687002;37.51413008
20000;"ж/д платформа ""Фили""";"railway platform ""Fili""";60;in;55.74529236;37.515778
20001;"ж/д платформа ""Фили""";"railway platform ""Fili""";60;out;55.74526472;37.51568322
20002;ул. Новозаводская;ul. Novozavodskaja;60;out;55.74532753;37.51587287
20020;ул. Луганская, ул. Весёлая, ул. Солнечная;ul. Luganskaja, ul. Vesjolaja, ul. Solnechnaja;23;out;55.62228749;37.66817008
20021;ул. Луганская, ул. Весёлая, ул. Солнечная;ul. Luganskaja, ul. Vesjolaja, ul. Solnechnaja;23;in;55.62228749;37.66817008
20030;ул. Луганская, НИИ автоматики;ul. Luganskaja, NII avtomatiki;23;out;55.6227719;37.66866399
20031;ул. Луганская, НИИ автоматики;ul. Luganskaja, NII avtomatiki;23;in;55.6227719;37.66866399
20040;ул. Луганская (нечетная сторона), ул. Каспийская;ul. Luganskaja (odd side), ul. Kaspijskaja;23;out;55.62243754;37.66895672
20041;ул. Луганская (нечетная сторона), ул. Каспийская;ul. Luganskaja (odd side), ul. Kaspijskaja;23;in;55.62243754;37.66895672
20050;ул. Товарищеская;ul. Tovarischeskaja;23;out;55.6204879;37.66994693
20051;ул. Товарищеская;ul. Tovarischeskaja;23;in;55.6204879;37.66994693
20060;ул. Каспийская;ul. Kaspijskaja;23;in;55.62023976;37.67048654
20061;ул. Каспийская;ul. Kaspijskaja;23;out;55.62023976;37.67048654
20070;пригородные поезда, парк Царицыно;suburban trains, park Tsaritsyno;23;in;55.61965888;37.67066623
20071;пригородные поезда, парк Царицыно;suburban trains, park Tsaritsyno;23;out;55.61965888;37.67066623
20090;Окружной пр-д, Ледовый дворец;Okruzhnoj proezd, Ledovyj dvorec;2;both;55.8051386;37.7446065
20100;"Окружной пр-д, стадион ""Локомотив""";"Okruzhnoj proezd, staduim ""Lokomotiv""";2;both;55.80474775;37.74460173
20110;"ул. Большая Черкизовская, стадион ""Локомотив"", ТЦ ""Черкизово""";"ul. Bol'shaja Cherkizovskaja, staduim ""Lokomotiv"", shopping mall ""Cherkizovo""";2;in;55.8027506;37.744535
20111;"ул. Большая Черкизовская, стадион ""Локомотив"", ТЦ ""Черкизово""";"ul. Bol'shaja Cherkizovskaja, staduim ""Lokomotiv"", shopping mall ""Cherkizovo""";2;out;55.80274138;37.74521052
20120;"ул. Чертановская, ТЦ ""Свод""";"ul. Chertanovskaja, shopping mall ""Svod""";148;both;55.64025368;37.60596794
20121;"Балаклавский пр-т, ТЦ ""Штаер""";"Balaklavskij prospekt, shopping mall ""Shtaer""";148;out;55.63981318;37.60790474
20122;ул. Чертановская, трамвайная остановка;ul. Chertanovskaja, tramway stop;148;both;55.64037369;37.60573625
